X;Y;ID
4203552.88188159;3867470.15169118;140293
4203945.42498354;3868157.64901628;140294
4204337.99537961;3868845.15710159;140295
4204730.59306716;3869532.67593874;140296
4205123.21804355;3870220.20551935;140297
4205515.87030613;3870907.74583505;140298
4205908.54985227;3871595.29687745;140299
4206301.25667932;3872282.85863818;140300
4206693.99078464;3872970.43110884;140301
4207086.75216559;3873658.01428106;140302
4207479.54081951;3874345.60814646;140303
4207872.35674377;3875033.21269664;140304
4208265.1999357;3875720.82792322;140305
4208658.07039268;3876408.45381782;140306
4209050.96811204;3877096.09037203;140307
4209443.89309113;3877783.73757748;140308
4209836.8453273;3878471.39542577;140309
4210229.82481789;3879159.06390849;140310
4210622.83156026;3879846.74301727;140311
4211015.86555175;3880534.4327437;140312
4211408.9267897;3881222.13307939;140313
4211802.01527145;3881909.84401593;140314
4212195.13099435;3882597.56554492;140315
4212588.27395573;3883285.29765797;140316
4212981.44415293;3883973.04034667;140317
4213374.6415833;3884660.79360261;140318
4213767.86624416;3885348.5574174;140319
4214161.11813286;3886036.33178261;140320
4214554.39724673;3886724.11668986;140321
4214947.70358311;3887411.91213071;140322
4215341.03713932;3888099.71809678;140323
4215734.3979127;3888787.53457963;140324
4216127.78590058;3889475.36157087;140325
4216521.20110028;3890163.19906207;140326
4216914.64350915;3890851.04704482;140327
4217308.1131245;3891538.90551069;140328
4218095.13396396;3892914.65385818;140330
4218488.68518272;3893602.54372293;140331
4218882.26359727;3894290.44403714;140332
4219275.86920492;3894978.35479238;140333
4219669.502003;3895666.27598021;140334
4220063.16198883;3896354.20759222;140335
4220456.84915972;3897042.14961998;140336
4220850.563513;3897730.10205506;140337
4221244.30504599;3898418.06488902;140338
4222425.6926963;3900482.0156999;140341
4222819.54292124;3901170.02004508;140342
4151290.89899894;3777205.49619394;140641
4151679.80012631;3777891.52643835;140642
4152068.72888928;3778577.56853721;140643
4152457.68528537;3779263.62248232;140644
4152846.66931207;3779949.68826546;140645
4153235.68096688;3780635.76587846;140646
4153624.72024729;3781321.85531309;140647
4154013.78715082;3782007.95656115;140648
4154402.88167495;3782694.06961445;140649
4154792.00381718;3783380.19446475;140650
4155181.15357501;3784066.33110385;140651
4155570.33094593;3784752.47952356;140652
4155959.53592742;3785438.63971564;140653
4156348.768517;3786124.8116719;140654
4156738.02871214;3786810.9953841;140655
